"Carson Young",-0.344,-19.956,58
"Callum Tarren",-0.355,-22.334,63
"Trevor Cone",-0.376,-18.064,48
"Justin Suh",-0.387,-30.960,80
"Will Gordon",-0.396,-30.131,76
"Erik van Rooyen",-0.400,-15.991,40
"Hank Lebioda",-0.408,-11.834,29
"Doc Redman",-0.457,-22.828,50
"Chesson Hadley",-0.467,-25.683,55
"Tyler Duncan",-0.504,-29.227,58
"Ryan Brehm",-0.506,-28.310,56
"Hayden Buckley",-0.518,-27.996,54
"Michael Gligic",-0.532,-19.679,37
"Brent Grant",-0.537,-22.570,42
"Matti Schmid",-0.549,-19.225,35
"Cameron Champ",-0.736,-32.398,44
"Brandon Matthews",-0.951,-32.322,34
